Length,Entropy,Vowel,Consonant,Special,V Con,C Vow,Lines,State
3610,4.861587964370167,805,1390,1415,0.579136690647482,1.7267080745341614,107,0
1012,4.75020993498844,225,414,373,0.5434782608695652,1.84,36,0
712,4.891840765792691,219,363,130,0.6033057851239669,1.6575342465753424,18,0
212,3.8696935392405916,19,29,164,0.6551724137931034,1.5263157894736843,2,0
212,3.8696935392405916,19,29,164,0.6551724137931034,1.5263157894736843,2,0
212,3.8696935392405916,19,29,164,0.6551724137931034,1.5263157894736843,2,0
716,3.3501160703329225,111,171,434,0.6491228070175439,1.5405405405405406,12,0
2429,4.887870356681275,744,1009,676,0.7373637264618434,1.3561827956989247,68,0
1697,5.132875107840526,378,736,583,0.5135869565217391,1.947089947089947,56,0
738,5.065825694071487,158,284,296,0.5563380281690141,1.7974683544303798,23,0
1677,5.13704558257646,381,724,572,0.5262430939226519,1.900262467191601,56,0
999,5.245278228776379,201,435,363,0.46206896551724136,2.1641791044776117,27,0
1671,5.135362158511844,379,718,574,0.5278551532033426,1.8944591029023747,56,0
506,4.7213913948578625,112,194,200,0.5773195876288659,1.7321428571428572,24,0
1229,5.090626912942644,278,474,477,0.5864978902953587,1.7050359712230216,39,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
1104,3.3612664799403884,166,266,672,0.6240601503759399,1.6024096385542168,22,0
1672,4.845503807450258,483,720,469,0.6708333333333333,1.4906832298136645,39,0
834,5.11134189817264,184,333,317,0.5525525525525525,1.809782608695652,27,0
1524,5.295409819211863,342,675,507,0.5066666666666667,1.9736842105263157,50,0
807,5.189725089881333,181,325,301,0.556923076923077,1.7955801104972375,22,0
2017,5.375571500141454,461,921,635,0.500542888165038,1.997830802603037,57,0
1668,5.218903869531922,401,705,562,0.5687943262411348,1.7581047381546135,46,0
1074,5.171394986804827,229,462,383,0.49567099567099565,2.017467248908297,27,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
1976,3.5780883412596785,282,500,1194,0.564,1.7730496453900708,40,0
981,4.685535564236204,214,362,405,0.5911602209944752,1.691588785046729,32,0
1366,5.195366331840698,316,587,463,0.5383304940374787,1.8575949367088607,41,0
1187,5.158784616772533,270,518,399,0.5212355212355212,1.9185185185185185,36,0
1440,5.23024943637802,333,592,515,0.5625,1.7777777777777777,34,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
1168,3.399394344941343,182,283,703,0.6431095406360424,1.554945054945055,24,0
6471,4.792949171968015,1932,2626,1913,0.7357197258187357,1.3592132505175984,176,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
2570,3.437565432406028,389,636,1545,0.6116352201257862,1.634961439588689,44,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
2248,3.4729531502313415,334,532,1382,0.6278195488721805,1.592814371257485,50,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
3186,3.5517974500051,456,721,2009,0.6324549237170597,1.581140350877193,58,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
888,4.900137926312195,283,436,169,0.6490825688073395,1.540636042402827,24,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
1349,5.069417664343608,403,651,295,0.6190476190476191,1.6153846153846154,34,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
365,4.192321771617286,68,114,183,0.5964912280701754,1.6764705882352942,25,0
617,4.303367369812245,111,201,305,0.5522388059701493,1.8108108108108107,32,0
683,4.102494858971344,139,227,317,0.6123348017621145,1.6330935251798562,35,0
472,4.324128521560121,101,170,201,0.5941176470588235,1.683168316831683,26,0
479,4.301991553295228,98,141,240,0.6950354609929078,1.4387755102040816,27,0
457,4.33380394686544,113,180,164,0.6277777777777778,1.592920353982301,22,0
429,4.31408198143408,94,157,178,0.5987261146496815,1.6702127659574468,25,0
390,4.264711421549884,84,135,171,0.6222222222222222,1.6071428571428572,25,0
332,4.216458786601889,76,110,146,0.6909090909090909,1.4473684210526316,23,0
351,4.3901207226120125,77,127,147,0.6062992125984252,1.6493506493506493,24,0
383,4.248262786234031,80,135,168,0.5925925925925926,1.6875,25,0
363,4.391035450720034,88,133,142,0.6616541353383458,1.5113636363636365,22,0
1118,4.706577730971507,308,593,217,0.5193929173693086,1.9253246753246753,31,0
462,4.3029752391770755,105,171,186,0.6140350877192983,1.6285714285714286,25,0
427,4.223619721152086,85,145,197,0.5862068965517241,1.7058823529411764,25,0
990,3.762828228603254,172,262,556,0.6564885496183206,1.5232558139534884,34,0
5824,3.2970209198602,731,1216,3877,0.6011513157894737,1.6634746922024624,270,0
2514,4.726847673408223,328,730,1456,0.44931506849315067,2.225609756097561,74,0
1944,5.171075173007383,601,954,389,0.629979035639413,1.5873544093178036,35,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
3716,3.571026455395966,466,725,2525,0.6427586206896552,1.555793991416309,64,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
271,4.841719001098323,74,131,66,0.5648854961832062,1.7702702702702702,3,0
510,2.453001248515375,35,57,418,0.6140350877192983,1.6285714285714286,21,0
645,5.019346861196793,196,328,121,0.5975609756097561,1.6734693877551021,18,0
142,4.715237969372948,48,58,36,0.8275862068965517,1.2083333333333333,3,0
347,4.9644966858403,106,173,68,0.6127167630057804,1.6320754716981132,9,0
213,4.610820303534934,63,108,42,0.5833333333333334,1.7142857142857142,9,0
349,4.373731165024023,77,125,147,0.616,1.6233766233766234,24,0
366,4.226771161300403,69,115,182,0.6,1.6666666666666667,25,0
650,4.155427561414904,139,221,290,0.6289592760180995,1.589928057553957,34,0
378,4.31494642050459,81,128,169,0.6328125,1.5802469135802468,24,0
2487,4.738275809974843,698,1306,483,0.5344563552833078,1.8710601719197708,61,0
397,4.355112174788221,87,133,177,0.6541353383458647,1.528735632183908,23,0
2390,4.437509399951759,322,515,1553,0.625242718446602,1.5993788819875776,54,0
6337,3.5572285502296275,984,2625,2728,0.37485714285714283,2.667682926829268,162,0
11034,5.366210436920111,2856,5113,3065,0.5585761783688636,1.790266106442577,218,0
2178,4.852840069793018,584,1026,568,0.5692007797270955,1.7568493150684932,40,0
7929,4.985116646547628,2498,3764,1667,0.6636556854410202,1.5068054443554844,192,0
656,3.427488088391572,81,123,452,0.6585365853658537,1.5185185185185186,27,0
468,4.681545921840629,119,211,138,0.5639810426540285,1.773109243697479,23,0
3953,4.69956521612175,978,1784,1191,0.5482062780269058,1.8241308793456033,119,0
811,3.6177730088346998,144,227,440,0.6343612334801763,1.5763888888888888,35,0
23503,3.588093855155877,167,333,23003,0.5015015015015015,1.9940119760479043,57,0
6878,4.757424316023343,1737,3047,2094,0.5700689202494257,1.754173862982153,183,0
481,4.170795969355567,97,160,224,0.60625,1.6494845360824741,26,0
496,4.489069244440499,117,201,178,0.582089552238806,1.7179487179487178,25,0
750,4.912450753154326,118,300,332,0.3933333333333333,2.542372881355932,32,0
164,4.731512275586332,50,85,29,0.5882352941176471,1.7,3,0
1361,4.862122464162991,372,673,316,0.5527488855869243,1.8091397849462365,28,0
27706,4.578057416783544,6345,10773,10588,0.5889724310776943,1.6978723404255318,812,0
5822,3.2964022662245376,731,1216,3875,0.6011513157894737,1.6634746922024624,270,0
281,4.84831906374827,88,135,58,0.6518518518518519,1.5340909090909092,6,0
195,4.944397182354271,55,86,54,0.6395348837209303,1.5636363636363637,3,0
21679,3.23817930653016,2138,3594,15947,0.5948803561491375,1.6810102899906454,863,0
790,4.95727885954869,187,363,240,0.5151515151515151,1.9411764705882353,20,0
6707,4.340959931877124,1206,2175,3326,0.5544827586206896,1.8034825870646767,191,0
1404,5.159598302852879,265,498,641,0.5321285140562249,1.879245283018868,53,0
472,4.994547981850382,112,211,149,0.5308056872037915,1.8839285714285714,17,0
307,5.200244137987323,85,142,80,0.5985915492957746,1.6705882352941177,3,0
609,4.753165353016791,158,247,204,0.6396761133603239,1.5632911392405062,32,0
59,4.450380448276792,14,18,27,0.7777777777777778,1.2857142857142858,2,0
133,4.761582440190311,35,72,26,0.4861111111111111,2.057142857142857,2,0
119,4.4615327280104395,42,64,13,0.65625,1.5238095238095237,4,0
243,4.798787072499554,65,130,48,0.5,2.0,8,0
78,4.688254431872956,21,44,13,0.4772727272727273,2.0952380952380953,2,0
460,4.885324414649564,113,269,78,0.4200743494423792,2.3805309734513274,18,0
493,5.2700007609486255,112,270,111,0.4148148148148148,2.4107142857142856,2,0
343,5.287684810518339,79,178,86,0.4438202247191011,2.2531645569620253,2,0
74,4.721088967150335,20,40,14,0.5,2.0,2,0
97,4.5515607411858285,25,53,19,0.4716981132075472,2.12,2,0
98,4.849332426482192,29,50,19,0.58,1.7241379310344827,2,0
164,4.593378696681061,47,86,31,0.5465116279069767,1.8297872340425532,4,0
68,4.746896436896348,18,40,10,0.45,2.2222222222222223,2,0
2408,5.493829256301356,647,1154,607,0.5606585788561526,1.7836166924265842,108,0
280,5.014590673525284,85,137,58,0.6204379562043796,1.611764705882353,5,0
18,3.6835423624332306,7,10,1,0.7,1.4285714285714286,2,0
1237,5.099753726009422,371,605,261,0.6132231404958678,1.6307277628032344,43,0
239,5.286420167062753,61,125,53,0.488,2.0491803278688523,2,0
410,5.203166956790106,118,229,63,0.5152838427947598,1.9406779661016949,10,0
227,4.868746908446305,65,122,40,0.5327868852459017,1.876923076923077,2,0
874,5.361334860099888,249,459,166,0.5424836601307189,1.8433734939759037,29,0
1265,5.302895462752805,372,650,243,0.5723076923076923,1.7473118279569892,46,0
77,4.714839061651168,18,32,27,0.5625,1.7777777777777777,2,0
208,5.0335074135334565,62,108,38,0.5740740740740741,1.7419354838709677,2,0
42,4.8208888513501895,13,23,6,0.5652173913043478,1.7692307692307692,2,0
59,4.577226947520248,13,29,17,0.4482758620689655,2.230769230769231,2,0
377,5.332423836644476,94,191,92,0.49214659685863876,2.0319148936170213,2,0
142,4.6808088862890935,31,65,46,0.47692307692307695,2.096774193548387,4,0
62,5.119124737631758,20,25,17,0.8,1.25,2,0
150,5.007891425179596,39,65,46,0.6,1.6666666666666667,2,0
103,4.888940368172424,32,51,20,0.6274509803921569,1.59375,2,0
918,4.96526038847617,252,465,201,0.5419354838709678,1.8452380952380953,32,0
665,5.092584072642319,178,342,145,0.52046783625731,1.9213483146067416,25,0
99,4.9159955709522585,32,55,12,0.5818181818181818,1.71875,2,0
55,4.65637238659871,18,26,11,0.6923076923076923,1.4444444444444444,2,0
3667,4.928939152147904,841,1549,1277,0.5429309231762427,1.8418549346016646,102,0
5565,5.160882405385212,1420,2473,1672,0.5742013748483623,1.741549295774648,111,0
10409,4.949310274380502,2354,4168,3887,0.5647792706333973,1.7706032285471538,255,0
1314,5.046673831043945,363,597,354,0.6080402010050251,1.6446280991735538,33,0
1290,4.77515322341082,345,558,387,0.6182795698924731,1.617391304347826,47,0
14784,4.779474597805449,3950,6413,4421,0.6159363792296897,1.6235443037974684,425,0
